Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0.0,1.0,male,0.275,0.125,0.0,0.11046036834342966,S
1.0,0.3333333333333333,female,0.475,0.125,0.0,1.0,C
1.0,1.0,female,0.325,0.0,0.0,0.12074460953402484,S
1.0,0.3333333333333333,female,0.4375,0.125,0.0,0.8090269736601539,S
0.0,1.0,male,0.4375,0.0,0.0,0.12264909864339434,S
0.0,1.0,male,0.3125,0.0,0.0,0.12886992187023877,Q
0.0,0.3333333333333333,male,0.675,0.0,0.0,0.790172531477396,S
0.0,1.0,male,0.025,0.375,0.16666666666666666,0.3210968638396938,S
1.0,1.0,female,0.3375,0.0,0.3333333333333333,0.1696259888107456,S
1.0,0.6666666666666666,female,0.175,0.125,0.0,0.4581560888802213,C
1.0,1.0,female,0.05,0.125,0.16666666666666666,0.25443974501176214,S
1.0,0.3333333333333333,female,0.725,0.0,0.0,0.40451348683007693,S
0.0,1.0,male,0.25,0.0,0.0,0.12264909864339434,S
0.0,1.0,male,0.4875,0.125,0.8333333333333334,0.4765031751642431,S
0.0,1.0,female,0.175,0.0,0.0,0.11966590690247797,S
1.0,0.6666666666666666,female,0.6875,0.0,0.0,0.24377460599929304,S
0.0,1.0,male,0.025,0.5,0.16666666666666666,0.4437459624830881,Q
1.0,0.6666666666666666,male,0.375,0.0,0.0,0.1980668673744256,S
0.0,1.0,female,0.3875,0.125,0.0,0.2742464317492047,S
1.0,1.0,female,0.26875,0.0,0.0,0.11007947052155577,C
0.0,0.6666666666666666,male,0.4375,0.0,0.0,0.3961337347488512,S
1.0,0.6666666666666666,male,0.425,0.0,0.0,0.1980668673744256,S
1.0,1.0,female,0.1875,0.0,0.0,0.12233219165559522,Q
1.0,0.3333333333333333,male,0.35,0.0,0.0,0.5408749070609314,S
0.0,1.0,female,0.1,0.375,0.16666666666666666,0.3210968638396938,S
1.0,1.0,female,0.475,0.125,0.8333333333333334,0.47821721536267564,S
0.0,1.0,male,0.3125,0.0,0.0,0.11007947052155577,C
0.0,0.3333333333333333,male,0.2375,0.375,0.3333333333333333,1.0,S
1.0,1.0,female,0.26875,0.0,0.0,0.12004680472435186,Q
0.0,1.0,male,0.3125,0.0,0.0,0.12029972087807614,S
0.0,0.3333333333333333,male,0.5,0.0,0.0,0.4223516936240752,C
1.0,0.3333333333333333,female,0.4375,0.125,0.0,1.0,C
1.0,1.0,female,0.26875,0.0,0.0,0.11807832478090757,Q
0.0,0.6666666666666666,male,0.825,0.0,0.0,0.15997708518703607,S
0.0,0.3333333333333333,male,0.35,0.125,0.0,1.0,C
0.0,0.3333333333333333,male,0.525,0.125,0.0,0.7922674694977024,S
1.0,1.0,male,0.3125,0.0,0.0,0.11014346135563058,C
0.0,1.0,male,0.2625,0.0,0.0,0.12264909864339434,S
0.0,1.0,female,0.225,0.25,0.0,0.2742464317492047,S
1.0,1.0,female,0.175,0.125,0.0,0.1712775617663908,C
0.0,1.0,female,0.5,0.125,0.0,0.14436027449020636,S
0.0,0.6666666666666666,female,0.3375,0.125,0.0,0.31995417037407214,S
0.0,1.0,male,0.3125,0.0,0.0,0.12029972087807614,C
1.0,0.6666666666666666,female,0.0375,0.125,0.3333333333333333,0.6334970686103628,C
1.0,1.0,female,0.2375,0.0,0.0,0.12004680472435186,Q
0.0,1.0,male,0.3125,0.0,0.0,0.12264909864339434,S
0.0,1.0,male,0.3125,0.125,0.0,0.23615664956181515,Q
1.0,1.0,female,0.26875,0.0,0.0,0.11807832478090757,Q
0.0,1.0,male,0.3125,0.25,0.0,0.33030240239874215,C
0.0,1.0,female,0.225,0.125,0.0,0.2711992491742135,S
0.0,1.0,male,0.0875,0.5,0.16666666666666666,0.604675292224809,S
0.0,1.0,male,0.2625,0.0,0.0,0.11884012042465536,S
1.0,0.3333333333333333,female,0.6125,0.125,0.0,1.0,C
1.0,0.6666666666666666,female,0.3625,0.125,0.0,0.3961337347488512,S
0.0,0.3333333333333333,male,0.8125,0.0,0.16666666666666666,0.9443096912594615,C
1.0,0.3333333333333333,male,0.5,0.0,0.0,0.5408749070609314,S
1.0,0.6666666666666666,female,0.2625,0.0,0.0,0.15997708518703607,S
0.0,1.0,male,0.35625,0.0,0.0,0.11014346135563058,C
1.0,0.6666666666666666,female,0.0625,0.125,0.3333333333333333,0.42279658228002387,S
0.0,1.0,male,0.1375,0.625,0.3333333333333333,0.7145643138354277,S
0.0,1.0,male,0.275,0.0,0.0,0.11014346135563058,C
1.0,0.3333333333333333,female,0.475,0.0,0.0,1.0,S
0.0,0.3333333333333333,male,0.5625,0.125,0.0,1.0,S
0.0,1.0,male,0.05,0.375,0.3333333333333333,0.42508196921126723,S
0.0,0.3333333333333333,male,0.5,0.0,0.0,0.4223516936240752,C
1.0,1.0,male,0.3125,0.125,0.16666666666666666,0.23228368050900136,C
1.0,0.6666666666666666,female,0.3625,0.0,0.0,0.15997708518703607,S
0.0,1.0,male,0.2375,0.0,0.0,0.12429914800775205,S
1.0,1.0,female,0.2125,0.5,0.3333333333333333,0.12074460953402484,S
0.0,1.0,male,0.325,0.25,0.0,0.13198109527930474,S
0.0,0.6666666666666666,male,0.4,0.0,0.0,0.15997708518703607,S
0.0,1.0,female,0.2,0.625,0.3333333333333333,0.7145643138354277,S
0.0,0.6666666666666666,male,0.2625,0.0,0.0,1.0,S
0.0,1.0,male,0.325,0.125,0.0,0.22022293187718636,C
1.0,1.0,male,0.4,0.0,0.0,0.8607650866009289,S
0.0,1.0,male,0.3125,0.0,0.0,0.116554733493412,S
0.0,1.0,male,0.3125,0.0,0.0,0.12029972087807614,S
0.0,1.0,male,0.3125,0.0,0.0,0.12264909864339434,S
1.0,0.6666666666666666,male,0.010374999999999999,0.0,0.3333333333333333,0.44184147337371865,S
1.0,1.0,female,0.375,0.0,0.0,0.1900680131150738,S
0.0,1.0,male,0.275,0.0,0.0,0.13712321587460236,S
1.0,1.0,male,0.3625,0.0,0.0,0.14474117231208025,S
1.0,1.0,female,0.26875,0.0,0.0,0.11864967151371841,Q
0.0,0.3333333333333333,male,0.35,0.0,0.0,0.717611496410419,S
1.0,0.6666666666666666,female,0.2125,0.0,0.0,0.15997708518703607,S
1.0,1.0,female,0.4125,0.375,0.0,0.24148921906804968,S
0.0,1.0,male,0.2,0.125,0.5,0.5237345050766061,S
0.0,1.0,male,0.3125,0.0,0.0,0.12264909864339434,S
1.0,0.3333333333333333,female,0.2875,0.375,0.3333333333333333,1.0,S
0.0,1.0,male,0.3,0.0,0.0,0.12264909864339434,S
0.0,1.0,male,0.3625,0.0,0.0,0.12264909864339434,S
0.0,1.0,male,0.25,0.0,0.0,0.11966590690247797,S
0.0,0.3333333333333333,male,0.575,0.125,0.0,0.932056970125422,S
0.0,1.0,male,0.325,0.125,0.3333333333333333,0.3134789074022159,S
0.0,1.0,male,0.7375,0.0,0.0,0.11046036834342966,S
0.0,1.0,male,0.3125,0.0,0.0,0.12264909864339434,S
0.0,0.3333333333333333,male,0.8875,0.0,0.0,0.5279883719512939,C
1.0,0.3333333333333333,male,0.2875,0.0,0.16666666666666666,0.9653215387053131,C
1.0,0.6666666666666666,female,0.425,0.0,0.16666666666666666,0.3504259961239838,S
0.0,0.6666666666666666,male,0.425,0.125,0.0,0.3961337347488512,S
0.0,1.0,female,0.35,0.0,0.0,0.12029972087807614,S
0.0,1.0,male,0.3125,0.0,0.0,0.12029972087807614,S
0.0,0.3333333333333333,male,0.2625,0.0,0.16666666666666666,1.0,S
0.0,1.0,male,0.4125,0.0,0.0,0.13185463720244261,S
0.0,1.0,male,0.4625,0.25,0.0,0.12074460953402484,S
0.0,1.0,male,0.35,0.0,0.0,0.12029972087807614,S
1.0,1.0,female,0.2625,0.0,0.0,0.116554733493412,S
