Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0.0,1.0,male,0.2711736617240512,0.125,0.0,0.11046036834342966,S
1.0,0.0,female,0.4722292033174164,0.125,0.0,1.0,C
1.0,1.0,female,0.32143754712239253,0.0,0.0,0.12074460953402483,S
1.0,0.0,female,0.4345312892686604,0.125,0.0,0.8090269736601539,S
0.0,1.0,male,0.4345312892686604,0.0,0.0,0.12264909864339432,S
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.12886992187023877,Q
0.0,0.0,male,0.6732847449107816,0.0,0.0,0.790172531477396,S
0.0,1.0,male,0.01985423473234481,0.375,0.16666666666666666,0.32109686383969377,S
1.0,1.0,female,0.33400351847197784,0.0,0.3333333333333333,0.1696259888107456,S
1.0,0.5,female,0.17064589092736868,0.125,0.0,0.4581560888802213,C
1.0,1.0,female,0.04498617743151546,0.125,0.16666666666666666,0.2544397450117621,S
1.0,0.0,female,0.723548630309123,0.0,0.0,0.40451348683007693,S
0.0,1.0,male,0.24604171902488062,0.0,0.0,0.12264909864339432,S
0.0,1.0,male,0.4847951746670017,0.125,0.8333333333333333,0.4765031751642431,S
0.0,1.0,female,0.17064589092736868,0.0,0.0,0.11966590690247796,S
1.0,0.5,female,0.685850716260367,0.0,0.0,0.24377460599929304,S
0.0,1.0,male,0.01985423473234481,0.5,0.16666666666666666,0.4437459624830881,Q
1.0,0.5,male,0.37170143252073384,0.0,0.0,0.1980668673744256,S
0.0,1.0,female,0.38426740387031916,0.125,0.0,0.27424643174920466,S
1.0,1.0,female,0.2648906760492586,0.0,0.0,0.11007947052155576,C
0.0,0.5,male,0.4345312892686604,0.0,0.0,0.3961337347488512,S
1.0,0.5,male,0.4219653179190751,0.0,0.0,0.1980668673744256,S
1.0,1.0,female,0.18321186227695402,0.0,0.0,0.12233219165559522,Q
1.0,0.0,male,0.34656948982156316,0.0,0.0,0.5408749070609314,S
0.0,1.0,female,0.09525006282985675,0.375,0.16666666666666666,0.32109686383969377,S
1.0,1.0,female,0.4722292033174164,0.125,0.8333333333333333,0.47821721536267564,S
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.11007947052155576,C
0.0,0.0,male,0.2334757476752953,0.375,0.3333333333333333,1.0,S
1.0,1.0,female,0.2648906760492586,0.0,0.0,0.12004680472435186,Q
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.12029972087807612,S
0.0,0.0,male,0.49736114601658704,0.0,0.0,0.42235169362407515,C
1.0,0.0,female,0.4345312892686604,0.125,0.0,1.0,C
1.0,1.0,female,0.2648906760492586,0.0,0.0,0.11807832478090757,Q
0.0,0.5,male,0.8240764011058055,0.0,0.0,0.15997708518703607,S
0.0,0.0,male,0.34656948982156316,0.125,0.0,1.0,C
0.0,0.0,male,0.5224930887157577,0.125,0.0,0.7922674694977024,S
1.0,1.0,male,0.3088715757728072,0.0,0.0,0.11014346135563058,C
0.0,1.0,male,0.2586076903744659,0.0,0.0,0.12264909864339432,S
0.0,1.0,female,0.22090977632571,0.25,0.0,0.27424643174920466,S
1.0,1.0,female,0.17064589092736868,0.125,0.0,0.17127756176639078,C
0.0,1.0,female,0.49736114601658704,0.125,0.0,0.14436027449020633,S
0.0,0.5,female,0.33400351847197784,0.125,0.0,0.31995417037407214,S
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.12029972087807612,C
1.0,0.5,female,0.032420206081930136,0.125,0.3333333333333333,0.6334970686103628,C
1.0,1.0,female,0.2334757476752953,0.0,0.0,0.12004680472435186,Q
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.12264909864339432,S
0.0,1.0,male,0.3088715757728072,0.125,0.0,0.23615664956181515,Q
1.0,1.0,female,0.2648906760492586,0.0,0.0,0.11807832478090757,Q
0.0,1.0,male,0.3088715757728072,0.25,0.0,0.33030240239874215,C
0.0,1.0,female,0.22090977632571,0.125,0.0,0.2711992491742135,S
0.0,1.0,male,0.08268409148027142,0.5,0.16666666666666666,0.6046752922248089,S
0.0,1.0,male,0.2586076903744659,0.0,0.0,0.11884012042465536,S
1.0,0.0,female,0.610454888162855,0.125,0.0,1.0,C
1.0,0.5,female,0.35913546117114853,0.125,0.0,0.3961337347488512,S
0.0,0.0,male,0.8115104297562202,0.0,0.16666666666666666,0.9443096912594614,C
1.0,0.0,male,0.49736114601658704,0.0,0.0,0.5408749070609314,S
1.0,0.5,female,0.2586076903744659,0.0,0.0,0.15997708518703607,S
0.0,1.0,male,0.35285247549635584,0.0,0.0,0.11014346135563058,C
1.0,0.5,female,0.05755214878110078,0.125,0.3333333333333333,0.42279658228002387,S
0.0,1.0,male,0.1329479768786127,0.625,0.3333333333333333,0.7145643138354277,S
0.0,1.0,male,0.2711736617240512,0.0,0.0,0.11014346135563058,C
1.0,0.0,female,0.4722292033174164,0.0,0.0,1.0,S
0.0,0.0,male,0.5601910027645137,0.125,0.0,1.0,S
0.0,1.0,male,0.04498617743151546,0.375,0.3333333333333333,0.42508196921126723,S
0.0,0.0,male,0.49736114601658704,0.0,0.0,0.42235169362407515,C
1.0,1.0,male,0.3088715757728072,0.125,0.16666666666666666,0.23228368050900136,C
1.0,0.5,female,0.35913546117114853,0.0,0.0,0.15997708518703607,S
0.0,1.0,male,0.2334757476752953,0.0,0.0,0.12429914800775203,S
1.0,1.0,female,0.20834380497612465,0.5,0.3333333333333333,0.12074460953402483,S
0.0,1.0,male,0.32143754712239253,0.25,0.0,0.13198109527930474,S
0.0,0.5,male,0.39683337521990447,0.0,0.0,0.15997708518703607,S
0.0,1.0,female,0.19577783362653933,0.625,0.3333333333333333,0.7145643138354277,S
0.0,0.5,male,0.2586076903744659,0.0,0.0,1.0,S
0.0,1.0,male,0.32143754712239253,0.125,0.0,0.22022293187718633,C
1.0,1.0,male,0.39683337521990447,0.0,0.0,0.8607650866009288,S
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.11655473349341199,S
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.12029972087807612,S
0.0,1.0,male,0.3088715757728072,0.0,0.0,0.12264909864339432,S
1.0,0.5,male,0.005152048253329982,0.0,0.3333333333333333,0.44184147337371865,S
1.0,1.0,female,0.37170143252073384,0.0,0.0,0.1900680131150738,S
0.0,1.0,male,0.2711736617240512,0.0,0.0,0.13712321587460233,S
1.0,1.0,male,0.35913546117114853,0.0,0.0,0.14474117231208025,S
1.0,1.0,female,0.2648906760492586,0.0,0.0,0.1186496715137184,Q
0.0,0.0,male,0.34656948982156316,0.0,0.0,0.7176114964104189,S
